OriginalPath,NewPath,Action,Category,Reason,SensitiveReview,Notes
"ACCESSIBILITY_AND_RESPONSIVE_REPORT.md","docs/qa/accessibility/ACCESSIBILITY_AND_RESPONSIVE_REPORT.md",MOVE,qa-accessibility,"subject","Not applicable - narrative document",""
"ACTIVITY_LOG_E2E_AUDIT.md","docs/qa/e2e/ACTIVITY_LOG_E2E_AUDIT.md",MOVE,qa-e2e,"subject","Not applicable - narrative document",""
"ACTIVITY_LOG_E2E_FIX_REPORT.md","docs/qa/e2e/ACTIVITY_LOG_E2E_FIX_REPORT.md",MOVE,qa-e2e,"subject","Not applicable - narrative document",""
"ACTIVITY_LOG_E2E_VERIFICATION.md","docs/qa/e2e/ACTIVITY_LOG_E2E_VERIFICATION.md",MOVE,qa-e2e,"subject","Not applicable - narrative document",""
"ACTIVITY_LOG_UX_FIX_REPORT.md","docs/qa/accessibility/ACTIVITY_LOG_UX_FIX_REPORT.md",MOVE,qa-accessibility,"subject","Not applicable - narrative document",""
"ANALYTICS_REPORTING_COMPLETION_REPORT.md","docs/features/dashboard/ANALYTICS_REPORTING_COMPLETION_REPORT.md",MOVE,feature-dashboard,"subject","Not applicable - narrative document",""
"APEX_AUDIT_REPORT.md","docs/audits/system/APEX_AUDIT_REPORT.md",MOVE,audits-system,"subject","Not applicable - narrative document",""
"APEX_OS_COMPLETE_AUDIT.md","docs/audits/system/APEX_OS_COMPLETE_AUDIT.md",MOVE,audits-system,"subject","Not applicable - narrative document",""
"APEX_OS_COMPLETE_PROJECT_AUDIT_2026.md","docs/features/projects/APEX_OS_COMPLETE_PROJECT_AUDIT_2026.md",MOVE,feature-projects,"subject","Not applicable - narrative document",""
"APEX_OS_DEFERRED_FEATURES.md","docs/product/feature-status/APEX_OS_DEFERRED_FEATURES.md",MOVE,product-feature-status,"subject","Not applicable - narrative document",""
"APEX_OS_DELIVERY_BLOCKERS.md","docs/operations/deployment/APEX_OS_DELIVERY_BLOCKERS.md",MOVE,ops-deployment,"subject","Not applicable - narrative document",""
"APEX_OS_EXECUTION_OS_ROADMAP_2026.md","docs/product/roadmap/APEX_OS_EXECUTION_OS_ROADMAP_2026.md",MOVE,product-roadmap,"subject","Not applicable - narrative document",""
"APEX_OS_FEATURE_AUDIT_MASTER.md","docs/audits/system/APEX_OS_FEATURE_AUDIT_MASTER.md",MOVE,audits-system,"subject","Not applicable - narrative document",""
"APEX_OS_FEATURE_STATUS_MATRIX.md","docs/audits/system/APEX_OS_FEATURE_STATUS_MATRIX.md",MOVE,audits-system,"subject","Not applicable - narrative document",""
"APEX_OS_HANDOVER_READINESS.md","docs/operations/deployment/APEX_OS_HANDOVER_READINESS.md",MOVE,ops-deployment,"subject","Not applicable - narrative document",""
"APEX_OS_KNOWN_LIMITATIONS.md","docs/product/feature-status/APEX_OS_KNOWN_LIMITATIONS.md",MOVE,product-feature-status,"subject","Not applicable - narrative document",""
"APEX_OS_MANUAL_QA_CHECKLIST.md","docs/qa/verification/APEX_OS_MANUAL_QA_CHECKLIST.md",MOVE,qa-verification,"subject","Not applicable - narrative document",""
"APEX_OS_MODULE_READINESS_SUMMARY.md","docs/product/feature-status/APEX_OS_MODULE_READINESS_SUMMARY.md",MOVE,product-feature-status,"subject","Not applicable - narrative document",""
"APEX_OS_PENDING_WORK_REGISTER.md","docs/product/feature-status/APEX_OS_PENDING_WORK_REGISTER.md",MOVE,product-feature-status,"subject","Not applicable - narrative document",""
"APEX_OS_STABILIZATION_MASTER_PROMPT.md","docs/operations/stabilization/APEX_OS_STABILIZATION_MASTER_PROMPT.md",MOVE,ops-stabilization,"subject","Not applicable - narrative document",""
"APEX_OS_STABILIZATION_STATUS.md","docs/operations/stabilization/APEX_OS_STABILIZATION_STATUS.md",MOVE,ops-stabilization,"subject","Not applicable - narrative document",""
"API_CLIENT_CLEANUP_AUDIT.md","docs/audits/system/API_CLIENT_CLEANUP_AUDIT.md",MOVE,audits-system,"subject","Not applicable - narrative document",""
"API_CLIENT_CLEANUP_REPORT.md","docs/archive/legacy-reports/API_CLIENT_CLEANUP_REPORT.md",MOVE,fallback,"unclassified","Not applicable - narrative document",""
"ATTENDANCE_PHASE1_QA.md","docs/features/attendance/ATTENDANCE_PHASE1_QA.md",MOVE,feature-attendance,"subject","Not applicable - narrative document",""
"AUDIT_EVENT_COMPLETION_REPORT.md","docs/audits/system/AUDIT_EVENT_COMPLETION_REPORT.md",MOVE,audits-system,"subject","Not applicable - narrative document",""
"AUDIT_INTEGRITY_REPORT.md","docs/security/audits/AUDIT_INTEGRITY_REPORT.md",MOVE,security-audits,"subject","Not applicable - narrative document",""
"AUTH_FORM_OTP_STABILIZATION_AUDIT.md","docs/features/authentication/AUTH_FORM_OTP_STABILIZATION_AUDIT.md",MOVE,feature-auth,"subject","Not applicable - narrative document",""
"AUTH_FORM_OTP_STABILIZATION_FIX_REPORT.md","docs/features/authentication/AUTH_FORM_OTP_STABILIZATION_FIX_REPORT.md",MOVE,feature-auth,"subject","Not applicable - narrative document",""
"AUTH_FORM_OTP_STABILIZATION_VERIFICATION.md","docs/features/authentication/AUTH_FORM_OTP_STABILIZATION_VERIFICATION.md",MOVE,feature-auth,"subject","Not applicable - narrative document",""
"BLOCKED_TICKET_WORKFLOW_DESIGN.md","docs/features/tickets/BLOCKED_TICKET_WORKFLOW_DESIGN.md",MOVE,feature-tickets,"subject","Not applicable - narrative document",""
"BUSINESS_RULES_UI_QA_REPORT.md","docs/qa/verification/BUSINESS_RULES_UI_QA_REPORT.md",MOVE,qa-verification,"subject","Not applicable - narrative document",""
"CALENDAR_LEAVE_EVENT_FIX_REPORT.md","docs/features/leave/CALENDAR_LEAVE_EVENT_FIX_REPORT.md",MOVE,feature-leave,"subject","Not applicable - narrative document",""
"CODEBASE_CLEANUP_REPORT.md","docs/archive/legacy-reports/CODEBASE_CLEANUP_REPORT.md",MOVE,fallback,"unclassified","Not applicable - narrative document",""
"COMPLETE_FEATURE_STATUS_AUDIT.md","docs/audits/system/COMPLETE_FEATURE_STATUS_AUDIT.md",MOVE,audits-system,"subject","Not applicable - narrative document",""
"DASHBOARD_COMMAND_CENTER_AUDIT.md","docs/features/dashboard/DASHBOARD_COMMAND_CENTER_AUDIT.md",MOVE,feature-dashboard,"subject","Not applicable - narrative document",""
"DASHBOARD_COMMAND_CENTER_FIX_REPORT.md","docs/features/dashboard/DASHBOARD_COMMAND_CENTER_FIX_REPORT.md",MOVE,feature-dashboard,"subject","Not applicable - narrative document",""
"DASHBOARD_COMMAND_CENTER_VERIFICATION.md","docs/features/dashboard/DASHBOARD_COMMAND_CENTER_VERIFICATION.md",MOVE,feature-dashboard,"subject","Not applicable - narrative document",""
"DASHBOARD_STORYTELLING_FIX_REPORT.md","docs/features/dashboard/DASHBOARD_STORYTELLING_FIX_REPORT.md",MOVE,feature-dashboard,"subject","Not applicable - narrative document",""
"DATABASE_MIGRATION_HARDENING_REPORT.md","docs/archive/legacy-reports/DATABASE_MIGRATION_HARDENING_REPORT.md",MOVE,fallback,"unclassified","Not applicable - narrative document",""
"DATABASE_STABILIZATION_REPORT.md","docs/operations/stabilization/DATABASE_STABILIZATION_REPORT.md",MOVE,ops-stabilization,"subject","Not applicable - narrative document",""
"DEPLOYED_ENDPOINT_MATRIX.md","docs/operations/deployment/DEPLOYED_ENDPOINT_MATRIX.md",MOVE,ops-deployment,"subject","Not applicable - narrative document",""
"DEPLOYED_RUNTIME_AUDIT.md","docs/operations/deployment/DEPLOYED_RUNTIME_AUDIT.md",MOVE,ops-deployment,"subject","Not applicable - narrative document",""
"DEPLOYED_RUNTIME_FIX_PLAN.md","docs/operations/deployment/DEPLOYED_RUNTIME_FIX_PLAN.md",MOVE,ops-deployment,"subject","Not applicable - narrative document",""
"DEPLOYED_RUNTIME_FIX_VERIFICATION_REPORT.md","docs/operations/deployment/DEPLOYED_RUNTIME_FIX_VERIFICATION_REPORT.md",MOVE,ops-deployment,"subject","Not applicable - narrative document",""
"DEPLOYMENT_READINESS_REPORT.md","docs/operations/deployment/DEPLOYMENT_READINESS_REPORT.md",MOVE,ops-deployment,"subject","Not applicable - narrative document",""
"END_TO_END_ISSUE_REGISTER.md","docs/qa/e2e/END_TO_END_ISSUE_REGISTER.md",MOVE,qa-e2e,"subject","Not applicable - narrative document",""
"END_TO_END_ROLLOUT_READINESS.md","docs/operations/deployment/END_TO_END_ROLLOUT_READINESS.md",MOVE,ops-deployment,"subject","Not applicable - narrative document",""
"END_TO_END_SYSTEM_AUDIT.md","docs/qa/e2e/END_TO_END_SYSTEM_AUDIT.md",MOVE,qa-e2e,"subject","Not applicable - narrative document",""
"END_TO_END_VERIFICATION_MATRIX.md","docs/qa/e2e/END_TO_END_VERIFICATION_MATRIX.md",MOVE,qa-e2e,"subject","Not applicable - narrative document",""
"FEATURE_CLASSIFICATION_MATRIX.md","docs/audits/system/FEATURE_CLASSIFICATION_MATRIX.md",MOVE,audits-system,"subject","Not applicable - narrative document",""
"FEATURE_CONNECTION_MATRIX_2026.md","docs/audits/connectivity/FEATURE_CONNECTION_MATRIX_2026.md",MOVE,audits-connectivity,"subject","Not applicable - narrative document",""
"FEATURE_CONNECTIVITY_MATRIX.csv","docs/audits/connectivity/FEATURE_CONNECTIVITY_MATRIX.csv",MOVE,audits-connectivity,"subject","Not applicable - narrative document",""
"FEATURE_CONNECTIVITY_MATRIX.md","docs/audits/connectivity/FEATURE_CONNECTIVITY_MATRIX.md",MOVE,audits-connectivity,"subject","Not applicable - narrative document",""
