"Feature ID","Feature","Module","UI Exists","Backend Model Exists","Backend API/Service Exists","Frontend Calls Backend","Persists to DB","Uses Mock/Static Data","RBAC/Role Scoped","Counts Consistent","Error/Loading States","Status","Priority","Evidence","Notes"
"FEAT-001","Authentication / Login","Auth/RBAC","Yes","Yes","Yes","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","AUTH1, AUTH2, FEAUTH1, FEAUTH2","Login and token storage are real, but the dashboard guard can redirect before auth persistence hydrates."
"FEAT-002","Current User / Session Profile","Auth/RBAC","Yes","Yes","Yes","Partial","Yes","No","Partial","Unknown","Partial","B_PARTIAL_OR_BROKEN","P1","AUTH1, FEAUTH2, API1","GET /auth/me exists, but the UI mostly trusts persisted login state instead of consistently refetching current user."
"FEAT-003","RBAC / Role Permissions","Auth/RBAC","Partial","Yes","Partial","Partial","Yes","No","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P0","ROLES1, USERS1, TICKETS1, PROJECTS1, LEAVE1, DASH1","Role constants exist, but direct ID reads and some manager/team-lead actions are not consistently scoped."
"FEAT-004","User List","Auth/RBAC","Yes","Yes","Yes","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","USERS1, USERS2, FEUSERS1","User list is connected and paginated, but backend GET /users is authenticated only, exposing directory data beyond admins."
"FEAT-005","Add User","Auth/RBAC","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","USERS1, USERS2, FEUSERS1","Create user UI calls the guarded users API and persists role and department."
"FEAT-006","Edit User","Auth/RBAC","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","USERS1, USERS2, FEUSERS1","Edit user mutation persists role, department, and profile fields through the backend."
"FEAT-007","Activate / Deactivate User","Auth/RBAC","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","USERS1, USERS2, FEUSERS1","Active flag is editable and persisted through the users update flow."
"FEAT-008","User Status","Auth/RBAC","Partial","Partial","Partial","Partial","Partial","No","Partial","Unknown","Partial","B_PARTIAL_OR_BROKEN","P1","SCHEMA_USER, WORKDAY1, FEUSERS1","The app has isActive and currentStatus, but not the full invited, suspended, deactivated lifecycle."
"FEAT-009","User Role Badges","Auth/RBAC","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P2","SCHEMA_USER, USERS2, FEUSERS1","Role badges are read from the role relation rather than a static frontend list."
"FEAT-010","User Department Assignment","Auth/RBAC","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_USER, USERS2, FEUSERS1","Department assignment is a persisted User.department relation and editable by admin flows."
"FEAT-011","User Profile Header","HRMS Profile","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_USER, USERS1, FEUSERPROFILE1","Profile header uses real user, role, department, avatar, and active fields."
"FEAT-012","Personal Details","HRMS Profile","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_USER, USERS2, FEUSERPROFILE1","Personal fields exist in Prisma and are loaded/saved through profile APIs."
"FEAT-013","Employment Details","HRMS Profile","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_USER, USERS2, FEUSERPROFILE1","Employment fields are present in the user model and connected in the profile screen."
"FEAT-014","Account & Access","HRMS Profile","Yes","Yes","Partial","Partial","Partial","No","Partial","Unknown","Partial","B_PARTIAL_OR_BROKEN","P1","SCHEMA_USER, USERS1, FEUSERPROFILE1","Role and status display exists, but session/last-active and reset/account flows are fragmented."
"FEAT-015","Payroll & Statutory","HRMS Profile","Yes","Yes","Yes","Yes","Yes","No","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P0","SCHEMA_USER, USERS2, FEUSERPROFILE1","Payroll fields persist, but sensitive data protection depends on profile API discipline and needs stronger audit coverage."
"FEAT-016","Documents & Verification","HRMS Profile","Yes","Yes","Yes","Yes","Yes","No","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P0","SCHEMA_DOCS, USERS1, USERS2, FEUSERPROFILE1","Document upload and verification exist, but document storage/access controls need hardening."
"FEAT-017","HR Notes","HRMS Profile","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown","Yes","A_FULLY_CONNECTED","P1","SCHEMA_USER, USERS2, FEUSERPROFILE1","HR notes are persisted in the protected profile update path."
"FEAT-018","Verification Details","HRMS Profile","Partial","Yes","Partial","Partial","Partial","No","Partial","Unknown","Partial","B_PARTIAL_OR_BROKEN","P1","SCHEMA_USER, SCHEMA_DOCS, USERS2, FEUSERPROFILE1","Document verification is implemented, but user-level verification status is only partly surfaced."
"FEAT-019","Departments List","Departments/Teams","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_DEPT, DEPTS1, FEDEPTS1","Department list uses backend cards with counts and member data."
"FEAT-020","New Department","Departments/Teams","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","DEPTS1, FEDEPTS1","Create department is guarded and persists through the departments API."
"FEAT-021","Edit Department","Departments/Teams","Yes","Yes","Yes","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","DEPTS1, FEDEPTDETAIL1","Name and metadata save, but lead edits are role-derived rather than a true lead relation."
"FEAT-022","Delete/Archive Department","Departments/Teams","Yes","Yes","Partial","Yes","Yes","No","Yes","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","DEPTS1, FEDEPTS1","Delete exists and blocks active tickets, but there is no archive state."
"FEAT-023","Department Detail","Departments/Teams","Yes","Yes","Yes","Yes","Yes","No","Yes","Partial","Yes","A_FULLY_CONNECTED","P1","DEPTS1, FEDEPTDETAIL1","Detail page loads real department, members, ticket and leave metrics."
"FEAT-024","Department Lead","Departments/Teams","Partial","No","Partial","Partial","Partial","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","SCHEMA_DEPT, DEPTS2, FEDEPTDETAIL1","Lead is inferred from MANAGER or TEAM_LEAD users in a department, not stored as a validated relation."
"FEAT-025","Add Member to Department","Departments/Teams","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","USERS1, FEDEPTDETAIL1","Adding/removing members updates User.departmentId through the users API."
"FEAT-026","Department Metrics","Departments/Teams","Yes","Yes","Partial","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","DEPTS2, FEDEPTDETAIL1","Member/ticket/project/leave metrics exist, but logic is duplicated and partly derived."
"FEAT-027","Company Directory","Departments/Teams","Yes","Yes","Yes","Yes","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","USERS1, TEAMFE1","Directory data is real, but access is limited and team/company concepts are mixed."
"FEAT-028","Live Status Directory","Departments/Teams","Partial","Yes","Yes","Yes","Yes","No","Partial","Unknown","Partial","B_PARTIAL_OR_BROKEN","P2","WORKDAY1, TEAMFE1","Workday status is persisted and displayed, but directory presence is not a full realtime presence system."
"FEAT-029","Teams Model","Departments/Teams","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P2","SCHEMA_DEPT, SCHEMA_USER","There is no separate Team model; teams are represented by departments and roles."
