"Feature ID","Feature","Module","UI Exists","Backend Model Exists","Backend API/Service Exists","Frontend Calls Backend","Persists to DB","Uses Mock/Static Data","RBAC/Role Scoped","Counts Consistent","Error/Loading States","Status","Priority","Evidence","Notes"
"FEAT-001","Authentication / Login","Auth","Yes","Yes","Yes","Yes","Yes","No","Partial","Partial","Yes","B","P1","AUTH; RBAC","Login/JWT/logout are connected; dashboard guard relies on persisted auth state."
"FEAT-002","Current User / Session Profile","Auth","Yes","Yes","Yes","Partial","Yes","No","Partial","Unknown","Partial","B","P1","AUTH; USERS","Current-user APIs exist but UI does not universally refetch current user."
"FEAT-003","RBAC / Role Permissions","RBAC","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","RBAC; TICKET_ACCESS; LEAVE; PROJECTS","Central roles, guards, and scoped policy services are present."
"FEAT-004","User List","Users","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","USERS","Paginated, scoped, safe user list."
"FEAT-005","Add User","Users","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","USERS","Admin-created users persist role and department."
"FEAT-006","Edit User","Users","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","USERS","Admin update persists role, department, profile, and active fields."
"FEAT-007","Activate / Deactivate User","Users","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","USERS","Deactivate updates isActive and logs event."
"FEAT-008","User Status","Users","Partial","Partial","Partial","Partial","Partial","No","Partial","Unknown","Partial","B","P1","DB; USERS; WORKDAY","Active/currentStatus exist; full invited/suspended/deactivated lifecycle does not."
"FEAT-009","User Role Badges","Users","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P2","DB; USERS","Role badges use role relation."
"FEAT-010","User Department Assignment","Users","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","DB; USERS; DEPTS","Department assignment persists through User.departmentId."
"FEAT-011","User Profile Header","HRMS","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","HRMS; USERS","Header loads real profile data."
